"DATA No"                         ,"X[mm]"                           ,"N[Ncm]"                          ,"jikuban"                         
       499, 8.333365E+00, 3.590000E+00,    0
       500, 8.350033E+00, 3.540000E+00,    0
       501, 8.366700E+00, 3.640000E+00,    0
       502, 8.383367E+00, 3.620000E+00,    0
       503, 8.400034E+00, 3.570000E+00,    0
       504, 8.416701E+00, 3.590000E+00,    0
       505, 8.433368E+00, 3.590000E+00,    0
       506, 8.450035E+00, 3.470000E+00,    0
       507, 8.466702E+00, 3.470000E+00,    0
       508, 8.483369E+00, 3.420000E+00,    0
       509, 8.500036E+00, 3.540000E+00,    0
       510, 8.516704E+00, 3.670000E+00,    0
       511, 8.533370E+00, 3.670000E+00,    0
       512, 8.550037E+00, 3.690000E+00,    0
       513, 8.566705E+00, 3.720000E+00,    0
       514, 8.583371E+00, 3.690000E+00,    0
       515, 8.600039E+00, 3.640000E+00,    0
       516, 8.616706E+00, 3.820000E+00,    0
       517, 8.633372E+00, 3.720000E+00,    0
       518, 8.650040E+00, 3.690000E+00,    0
       519, 8.666707E+00, 3.720000E+00,    0
       520, 8.683373E+00, 3.690000E+00,    0
       521, 8.700041E+00, 3.670000E+00,    0
       522, 8.716708E+00, 3.570000E+00,    0
       523, 8.733375E+00, 3.640000E+00,    0
       524, 8.750042E+00, 3.690000E+00,    0
       525, 8.766709E+00, 3.670000E+00,    0
       526, 8.783376E+00, 3.570000E+00,    0
       527, 8.800043E+00, 3.720000E+00,    0
       528, 8.816710E+00, 3.740000E+00,    0
       529, 8.833377E+00, 3.620000E+00,    0
       530, 8.850044E+00, 3.590000E+00,    0
       531, 8.866712E+00, 3.720000E+00,    0
       532, 8.883378E+00, 3.620000E+00,    0
       533, 8.900045E+00, 3.590000E+00,    0
       534, 8.916713E+00, 3.640000E+00,    0
       535, 8.933379E+00, 3.620000E+00,    0
       536, 8.950047E+00, 3.570000E+00,    0
       537, 8.966714E+00, 3.570000E+00,    0
       538, 8.983380E+00, 3.640000E+00,    0
       539, 9.000048E+00, 3.670000E+00,    0
       540, 9.016715E+00, 3.640000E+00,    0
       541, 9.033381E+00, 3.440000E+00,    0
       542, 9.050049E+00, 3.490000E+00,    0
       543, 9.066716E+00, 3.570000E+00,    0
       544, 9.083383E+00, 3.570000E+00,    0
       545, 9.100050E+00, 3.570000E+00,    0
       546, 9.116717E+00, 3.620000E+00,    0
       547, 9.133384E+00, 3.570000E+00,    0
       548, 9.150051E+00, 3.570000E+00,    0
       549, 9.166718E+00, 3.740000E+00,    0
       550, 9.183385E+00, 3.670000E+00,    0
       551, 9.200052E+00, 3.570000E+00,    0
       552, 9.216720E+00, 3.570000E+00,    0
       553, 9.233386E+00, 3.670000E+00,    0
       554, 9.250053E+00, 3.640000E+00,    0
       555, 9.266721E+00, 3.620000E+00,    0
       556, 9.283387E+00, 3.570000E+00,    0
       557, 9.300055E+00, 3.670000E+00,    0
       558, 9.316722E+00, 3.690000E+00,    0
       559, 9.333388E+00, 3.570000E+00,    0
       560, 9.350056E+00, 3.740000E+00,    0
       561, 9.366723E+00, 3.690000E+00,    0
       562, 9.383389E+00, 3.640000E+00,    0
       563, 9.400057E+00, 3.640000E+00,    0
       564, 9.416724E+00, 3.790000E+00,    0
       565, 9.433391E+00, 3.690000E+00,    0
       566, 9.450058E+00, 3.670000E+00,    0
       567, 9.466725E+00, 3.720000E+00,    0
       568, 9.483392E+00, 3.640000E+00,    0
       569, 9.500059E+00, 3.640000E+00,    0
       570, 9.516726E+00, 3.690000E+00,    0
       571, 9.533393E+00, 3.690000E+00,    0
